County,Year,Adoptive Home,Agency Operated Boarding Home, Approved Relative Home, Foster Boarding Home, Group Home, Group Residence,Institution, Supervised Independent Living,Other,Total Days In Care,Admissions,Discharges,Children In Care,Number of Children Served,Indicated CPS Reports
ALBANY,2017,0,965,2598,48637,5207,1488,16017,692,232,75836,158,130,199,402,602
ALLEGANY,2017,0,585,5596,11320,0,0,2615,285,0,20401,22,46,58,77,89
BROOME,2017,0,393,6171,53256,8419,451,13870,3828,468,86856,136,108,241,385,1016
CATTARAUGUS,2017,0,1006,2747,14925,132,0,3949,106,256,23121,45,80,66,113,320
CAYUGA,2017,0,337,0,15543,92,155,5067,455,0,21649,40,42,58,120,208
CHAUTAUQUA,2017,0,94,3754,26759,332,563,5866,104,528,38000,79,98,101,196,631
CHEMUNG,2017,0,0,2354,26107,1732,239,2921,728,313,34394,47,60,84,167,486
CHENANGO,2017,0,295,4448,12077,0,0,2188,0,1034,20042,26,20,60,77,304
CLINTON,2017,0,0,1734,20976,1500,67,3433,236,22,27968,37,66,78,107,227
COLUMBIA,2017,0,0,1407,9158,1284,59,5078,167,110,17263,24,59,53,79,127
CORTLAND,2017,0,0,2358,14068,16,0,1586,248,0,18276,28,34,53,94,247
DELAWARE,2017,0,365,684,16783,0,0,325,0,86,18243,13,37,52,81,212
DUTCHESS,2017,2,2109,21603,36838,5203,696,28914,1679,5043,102087,165,182,282,463,705
ERIE,2017,438,532,33433,226578,5470,2597,62505,14042,1776,347371,633,611,937,1509,2973
ESSEX,2017,5,0,3521,7967,1377,365,683,0,3,13921,24,20,36,67,86
FRANKLIN,2017,0,0,18010,32317,983,0,1975,0,2991,56276,66,34,125,228,281
FULTON,2017,0,86,92,7144,739,365,4889,0,793,14108,26,30,41,62,183
GENESEE,2017,983,0,1096,16888,448,0,4330,86,544,24375,30,41,70,98,210
GREENE,2017,0,0,8181,6451,998,108,5080,0,0,20818,40,36,68,106,128
HAMILTON,2017,0,0,520,128,6,0,289,0,6,949,1,0,2,4,5
HERKIMER,2017,18,232,688,23274,216,0,8875,0,33,33336,62,49,77,165,201
JEFFERSON,2017,0,277,499,35726,0,0,2390,0,0,38892,87,70,103,164,444
LEWIS,2017,214,0,514,2943,0,0,172,0,0,3843,10,7,14,23,64
LIVINGSTON,2017,0,0,2879,10496,8,0,3283,0,9,16675,33,40,49,82,150
MADISON,2017,0,22,1207,6537,60,365,2759,133,86,11169,18,31,34,61,242
MONROE,2017,0,0,848,104965,5379,967,22517,3765,34,138475,315,362,368,731,1236
MONTGOMERY,2017,0,619,10,19577,2216,418,2815,0,0,25655,51,38,62,109,187
NASSAU,2017,0,738,4773,35521,7317,2311,7424,0,365,58449,116,147,165,315,1072
NEW YORK,2017,0,36005,976200,1892365,71236,35729,265634,0,53528,3330697,3750,4532,8931,15266,21863
KINGS,2017,0,36005,976200,1892365,71236,35729,265634,0,53528,3330697,3750,4532,8931,15266,21863
QUEENS,2017,0,36005,976200,1892365,71236,35729,265634,0,53528,3330697,3750,4532,8931,15266,21863
BRONX,2017,0,36005,976200,1892365,71236,35729,265634,0,53528,3330697,3750,4532,8931,15266,21863
RICHMOND,2017,0,36005,976200,1892365,71236,35729,265634,0,53528,3330697,3750,4532,8931,15266,21863
NIAGARA,2017,80,2272,3139,41504,773,467,11695,907,770,61607,105,109,169,291,686
ONEIDA,2017,0,1635,9488,43820,1006,565,24477,344,765,82100,200,215,243,429,796
ONONDAGA,2017,365,5461,5840,88751,1461,561,23994,3653,232,130318,265,264,355,606,1131
ONTARIO,2017,0,185,3438,18529,142,0,3523,11,340,26168,37,41,73,123,314
ORANGE,2017,0,2335,24930,77443,5299,3982,14507,62,6269,134827,187,171,351,572,509
ORLEANS,2017,0,0,0,11484,365,0,2235,145,0,14229,30,25,40,70,131
OSWEGO,2017,0,203,9260,14961,136,297,6954,105,96,32012,55,50,63,160,686
OTSEGO,2017,571,0,82,9451,498,0,1662,0,2,12266,12,18,27,50,161
PUTNAM,2017,0,626,193,4954,0,136,556,0,730,7195,17,20,22,35,117
RENSSELAER,2017,70,287,2125,13398,4664,310,7202,401,21,28478,51,79,88,148,524
ROCKLAND,2017,0,656,2305,12341,651,1086,4806,0,586,22431,36,43,60,103,200
ST. LAWRENCE,2017,0,878,6619,48345,235,681,7009,481,314,64562,91,89,171,282,201
ST. REGIS MOHAWK,2017,0,0,3925,348,18,0,354,0,472,5117,3,10,10,27,17
SARATOGA,2017,0,0,793,11020,771,396,6743,0,36,19759,26,29,50,96,443
SCHENECTADY,2017,0,260,9964,44407,5322,2776,15196,1365,301,79591,128,109,228,354,518
SCHOHARIE,2017,0,0,365,13276,1302,361,3668,0,185,19157,27,20,53,71,106
SCHUYLER,2017,0,0,771,6715,507,0,1072,0,0,9065,12,7,23,32,85
SENECA,2017,0,0,717,10731,371,0,3419,385,468,16091,25,29,38,67,134
STEUBEN,2017,0,0,921,28645,796,158,5001,290,920,36731,68,58,105,149,267
SUFFOLK,2017,0,359,48490,92235,32976,2607,17149,267,2209,196292,361,460,557,912,2308
SULLIVAN,2017,0,365,512,20959,1557,1576,7582,581,1306,34438,44,53,82,128,226
TIOGA,2017,0,214,1848,7115,278,0,1520,0,13,10988,15,4,32,49,168
TOMPKINS,2017,0,53,11618,18064,1648,301,2570,1077,2073,37404,64,64,102,169,204
ULSTER,2017,0,1059,14196,22371,764,1110,9893,399,3960,53752,96,87,125,246,359
WARREN,2017,0,0,0,9125,138,0,3496,0,62,12821,17,34,44,63,175
WASHINGTON,2017,0,0,224,14471,681,0,2126,0,0,17502,49,33,57,71,241
WAYNE,2017,34,0,0,7788,0,192,2635,0,0,10649,23,25,39,51,287
WESTCHESTER,2017,0,2090,20276,90072,14433,10650,28726,1998,9957,178202,222,251,487,731,1014
WYOMING,2017,658,959,1008,10775,365,44,3846,0,0,17655,20,24,39,72,118
YATES,2017,0,0,0,2383,52,0,419,313,365,3532,7,23,15,15,101
ALBANY,2016,0,126,1124,42022,4581,456,18213,1317,517,68356,158,130,199,400,581
ALLEGANY,2016,0,810,3689,14163,0,0,4636,0,0,23298,22,46,58,75,128
BROOME,2016,0,0,3733,54557,8821,366,11736,3780,282,83275,136,108,241,373,1041
CATTARAUGUS,2016,0,969,3489,17651,0,81,6694,352,568,29804,45,80,66,111,286
CAYUGA,2016,0,0,1347,17875,41,333,4571,366,0,24533,40,42,58,116,212
CHAUTAUQUA,2016,0,0,2537,30203,412,161,6616,0,884,40813,79,98,101,195,603
CHEMUNG,2016,118,0,2541,21037,1597,341,6693,428,89,32844,47,60,84,166,408
CHENANGO,2016,0,0,4278,11655,0,0,2056,0,2835,20824,26,20,60,71,273
CLINTON,2016,0,0,1203,24798,2413,193,4146,101,615,33469,37,66,78,102,225
COLUMBIA,2016,0,0,1419,13244,2189,187,5865,732,356,23992,24,59,53,79,163
CORTLAND,2016,0,145,2161,16254,288,0,2547,0,0,21395,28,34,53,101,261
DELAWARE,2016,28,94,1704,21718,0,0,605,207,546,24902,13,37,52,79,196
DUTCHESS,2016,304,3373,20785,44712,4037,1055,26761,866,3991,105884,165,182,282,422,602
ERIE,2016,388,1542,22281,238196,5241,2733,64688,13028,584,348681,633,611,937,1495,3001
ESSEX,2016,20,0,1966,7450,974,526,608,0,162,11706,24,20,36,59,92
FRANKLIN,2016,0,0,12660,23958,635,0,2601,0,465,40319,66,34,125,223,255
FULTON,2016,0,53,391,7666,1867,170,5096,0,732,15975,26,30,41,64,191
GENESEE,2016,0,0,1778,22959,446,0,3051,0,1545,29779,30,41,70,91,202
GREENE,2016,0,0,6734,11478,1783,0,5556,173,0,25724,40,36,68,102,140
HAMILTON,2016,0,0,0,37,32,0,334,0,0,403,1,,2,4,7
HERKIMER,2016,0,2,366,16234,332,0,6999,0,0,23933,62,49,77,159,174
JEFFERSON,2016,0,338,1126,32584,0,0,2011,0,0,36059,87,70,103,168,441
LEWIS,2016,9,0,868,3317,0,0,649,0,0,4843,10,7,14,23,98
LIVINGSTON,2016,0,0,2117,14853,121,0,2538,499,0,20128,33,40,49,84,149
MADISON,2016,0,329,2157,7447,288,152,5243,79,276,15971,18,31,34,61,187
MONROE,2016,25,0,998,97420,6269,1580,32846,3406,0,142544,315,362,368,686,1290
MONTGOMERY,2016,0,435,0,15807,1287,965,3042,0,0,21536,51,38,62,111,139
NASSAU,2016,0,511,7278,40070,7051,4405,7587,0,387,67289,116,147,165,315,991
NEW YORK CITY,2016,0,39094,1002788,1986728,67238,32889,235783,0,57183,3421703,3750,4532,8931,13438,20154
NIAGARA,2016,0,1806,2752,43429,709,0,11725,554,952,61927,105,109,169,272,664
ONEIDA,2016,0,1677,11805,56605,930,315,20609,349,268,92558,200,215,243,439,857
ONONDAGA,2016,44,5768,4382,88648,1704,1052,31016,5462,1154,139230,265,264,355,598,1083
ONTARIO,2016,0,0,997,20753,129,0,6332,4,1054,29269,37,41,73,117,307
ORANGE,2016,0,2077,20068,73576,5035,3496,14803,328,6979,126362,187,171,351,531,520
ORLEANS,2016,0,0,0,11154,289,0,2678,0,0,14121,30,25,40,63,146
OSWEGO,2016,72,48,6435,10643,242,1109,6761,366,0,25676,55,50,63,145,568
OTSEGO,2016,317,0,7,8573,366,0,1832,0,0,11095,12,18,27,48,163
PUTNAM,2016,0,1575,0,5996,0,0,1672,0,513,9756,17,20,22,35,118
RENSSELAER,2016,0,852,760,18604,5594,679,13132,989,30,40640,51,79,88,141,449
ROCKLAND,2016,0,85,4443,10878,1268,626,5545,0,975,23820,36,43,60,102,152
SARATOGA,2016,0,1211,4320,46870,19,709,9145,0,491,62765,91,89,171,267,166
SCHENECTADY,2016,0,0,3613,1643,292,0,0,0,0,5548,3,10,10,28,31
SCHOHARIE,2016,0,223,18,9942,1313,722,6424,0,0,18642,26,29,50,93,369
SCHUYLER,2016,0,275,10253,48303,4222,1234,15051,1367,292,80997,128,109,228,354,460
SENECA,2016,0,0,0,11228,1661,407,3083,0,443,16822,27,20,53,69,92
ST. LAWRENCE,2016,0,0,484,7565,459,0,1103,0,0,9611,12,7,23,32,86
ST. REGIS MOHAWK,2016,0,0,531,12269,437,0,2862,0,846,16945,25,29,38,68,130
STEUBEN,2016,0,0,218,28991,1007,0,5281,0,653,36150,68,58,105,157,272
SUFFOLK,2016,0,1329,53358,102240,34783,1491,19432,2,2387,215022,361,460,557,892,2146
SULLIVAN,2016,14,366,533,19188,2016,835,5782,624,783,30141,44,53,82,127,263
TIOGA,2016,0,157,749,7293,18,0,1073,0,222,9512,15,4,32,46,149
TOMPKINS,2016,0,88,11794,20245,1724,68,4386,952,2364,41621,64,64,102,172,143
ULSTER,2016,0,853,5690,20125,1718,1120,11830,550,2117,44003,96,87,125,240,318
WARREN,2016,0,0,57,13101,190,277,3980,0,1334,18939,17,34,44,61,151
WASHINGTON,2016,0,0,0,12467,1373,42,3523,0,236,17641,49,33,57,70,234
WAYNE,2016,0,0,0,13242,0,0,2348,0,0,15590,23,25,39,49,252
WESTCHESTER,2016,0,1647,15739,90413,17814,13084,35853,3064,10212,187826,222,251,487,696,922
WYOMING,2016,0,732,0,10116,157,0,3567,0,0,14572,20,24,39,72,88
YATES,2016,0,0,208,6953,284,0,187,236,436,8304,7,23,15,15,108
ALBANY,2015,0,284,3692,36175,5684,1107,17968,1514,755,67179,167,159,181,333,698
ALLEGANY,2015,0,1058,7801,18961,258,0,5062,0,840,33980,38,57,77,133,137
BROOME,2015,0,0,3150,57545,8359,275,12001,3332,1104,85766,105,143,218,352,1015
CATTARAUGUS,2015,0,1102,5047,21843,967,443,7398,169,10,36979,58,55,94,163,420
CAYUGA,2015,0,84,1974,20074,92,177,3440,122,217,26180,47,58,65,120,175
CHAUTAUQUA,2015,0,0,3249,28529,1036,267,6105,0,165,39351,110,98,112,218,654
CHEMUNG,2015,44,0,2399,22768,1434,72,4420,473,371,31981,63,49,96,150,473
CHENANGO,2015,0,0,247,10768,167,0,1513,0,3058,15753,39,21,55,73,294
CLINTON,2015,0,0,1665,30870,2166,0,5695,0,730,41126,50,51,109,157,242
COLUMBIA,2015,0,0,2713,18943,1632,974,7157,660,483,32562,35,45,79,131,163
CORTLAND,2015,0,365,1358,19091,85,0,3319,308,291,24817,45,54,61,112,254
DELAWARE,2015,0,0,2048,24593,312,0,1045,53,730,28781,35,37,75,124,247
DUTCHESS,2015,649,3427,14768,56113,3261,728,31855,1201,2823,114825,176,130,314,471,634
ERIE,2015,0,2458,15782,215345,5658,2821,65564,12886,1392,321906,617,569,884,1476,2761
ESSEX,2015,0,0,1402,5959,132,190,1915,0,149,9747,26,8,38,46,77
FRANKLIN,2015,0,0,13877,19799,648,0,2673,0,330,37327,41,38,103,138,272
FULTON,2015,0,280,311,5084,2439,274,6083,0,605,15076,33,37,45,77,204
GENESEE,2015,4,0,1627,25287,0,0,2231,0,670,29819,51,45,84,133,205
GREENE,2015,0,407,3328,12817,1769,0,5316,365,303,24305,51,53,78,115,168
HAMILTON,2015,0,0,47,53,67,0,0,0,0,167,2,1,1,2,13
HERKIMER,2015,0,217,2365,16107,351,120,7864,102,0,27126,48,63,60,123,142
JEFFERSON,2015,0,0,646,33970,0,356,2085,41,0,37098,60,75,88,163,506
LEWIS,2015,0,0,548,3275,0,0,1193,0,0,5016,8,8,12,21,60
LIVINGSTON,2015,0,0,2112,11879,22,0,1698,730,0,16441,39,22,52,80,142
MADISON,2015,0,365,1888,9044,521,57,5341,301,469,17986,27,35,46,80,212
MONROE,2015,0,139,921,96245,5803,862,39467,3713,0,147150,322,333,390,733,1109
MONTGOMERY,2015,0,195,0,13714,606,464,3425,0,0,18404,47,27,60,85,192
NASSAU,2015,0,411,10534,44405,8788,4426,9577,179,228,78548,149,176,197,361,1035
NEW YORK CITY,2015,0,39474,1171190,2238671,70503,29792,253023,0,70607,3873260,3905,4878,9889,15532,19624
NIAGARA,2015,61,458,4659,45958,1290,0,14219,0,947,67592,106,98,177,281,663
ONEIDA,2015,0,1495,11138,57482,1236,365,21214,0,1370,94300,213,178,264,448,831
ONONDAGA,2015,0,6940,3491,86501,1434,358,29643,6323,102,134792,264,254,364,610,1066
ONTARIO,2015,0,0,966,22489,518,0,5935,365,44,30317,39,42,80,126,303
